bairros,disparos,presenca_policial,mortos,feridos
Santa Paula,1,0,0,0
Santa Rita,1,0,0,0
Santa Sofia,1,0,0,0
Santa Terezinha,1,0,0,0
Santana (Niterói),1,0,0,0
Santo Antônio (Duque de Caxias),1,0,0,0
Santo Antônio (Niterói),1,1,0,0
Santo Elias,1,0,0,0
Santos Neves,1,0,0,0
São Bento,1,0,1,0
São Bernardo,1,0,0,0
São Cristóvão (Queimados),1,0,0,0
Sao Mateus,1,0,0,0
São Miguel (São Gonçalo),1,0,0,1
São Miguel (Seropédica),1,0,0,0
São Vicente,1,0,0,1
Sete Pontes,1,0,0,2
Shangri-lá,1,0,0,0
Sitio Retiro Feliz,1,0,0,0
Sublime,1,0,0,0
Tiradentes,1,0,0,0
Tomazinho,1,0,0,0
Três Fontes,1,0,0,0
Trezentos,1,1,0,0
UFFRJ,1,0,3,0
Vargem Pequena,1,0,0,0
Várzea das Moças,1,0,0,0
Vasco da Gama,1,0,0,0
Venda das Pedras,1,0,1,0
Venda Velha,1,0,0,0
Vila Andorinhas,1,0,0,0
Vila Brasil (Manilha),1,1,4,0
Vila Central,1,0,0,0
Vila Colúmbia,1,0,0,0
Vila Cortes,1,0,0,0
Vila Esperança,1,0,0,0
Vila Guimaraes,1,0,0,0
Vila Humaita,1,0,0,0
Vila Japeri,1,0,0,0
Vila Maria Helena,1,0,0,1
Vila Nascente,1,0,0,0
Vila Norma (Mesquita),1,0,0,0
Vila Nova,1,0,0,0
Vila Santa Amélia,1,0,0,0
Vila Santos Neto,1,0,0,0
Vila São João (Queimados),1,0,0,0
Vila Sao Judas Tadeu,1,0,0,0
Vila São Judas Tadeu,1,0,0,0
Vila São Teodoro,1,0,0,0
Vila Sarapui,1,0,0,0
Vila Sueli,1,0,0,0
Vila Treze de Maio,1,0,1,0
Vila Urussaí,1,0,0,0
Vila Zulmira,1,1,0,0
Vital Brasil,1,0,0,0
Xavantes,1,0,1,0
Zumbi,1,0,1,0
